barcode	Description
KM_1	male ♂ – standard diet (SD) 
KM_2	male ♂ – standard diet (SD) 
KM_3	male ♂ – standard diet (SD)
KM_4	male ♂ – standard diet (SD)
KM_5	male ♂ – standard diet (SD)
KM_6	male ♂ – standard diet (SD)
KM_7	male ♂ – standard diet (SD)
KM_8	male ♂ – standard diet (SD)
KM_9	male ♂ – standard diet (SD)
KM_10	male ♂ – standard diet (SD)
KM_11	male ♂ – high fat diet (HFD)
KM_12	male ♂ – high fat diet (HFD)
KM_13	male ♂ – high fat diet (HFD)
KM_14	male ♂ – high fat diet (HFD)
KM_15	male ♂ – high fat diet (HFD)
KM_16	male ♂ – high fat diet (HFD)
KM_17	male ♂ – high fat diet (HFD)
KM_18	male ♂ – high fat diet (HFD)
KM_19	male ♂ – high fat diet (HFD)
KM_20	male ♂ – high fat diet (HFD)
KM_21	male ♂ – high carbohydrate diet (HCD)
KM_22	male ♂ – high carbohydrate diet (HCD)
KM_23	male ♂ – high carbohydrate diet (HCD)
KM_24	male ♂ – high carbohydrate diet (HCD)
KM_25	male ♂ – high carbohydrate diet (HCD)
KM_26	male ♂ – high carbohydrate diet (HCD)
KM_27	male ♂ – high carbohydrate diet (HCD)
KM_28	male ♂ – high carbohydrate diet (HCD)
KM_29	male ♂ – high carbohydrate diet (HCD)
KM_30	male ♂ – high carbohydrate diet (HCD)
KM_31	male ♂ – mixed diet (HMD)
KM_32	male ♂ – mixed diet (HMD)
KM_33	male ♂ – mixed diet (HMD)
KM_34	male ♂ – mixed diet (HMD)
KM_35	male ♂ – mixed diet (HMD)
KM_36	male ♂ – mixed diet (HMD)
KM_37	male ♂ – mixed diet (HMD)
KM_38	male ♂ – mixed diet (HMD)
KM_39	male ♂ – mixed diet (HMD)
KM_40	male ♂ – mixed diet (HMD)
KM_41	standard diet (SD) – female ♀
KM_42	standard diet (SD) – female ♀
KM_43	standard diet (SD) – female ♀
KM_44	standard diet (SD) – female ♀
KM_45	standard diet (SD) – female ♀
KM_46	standard diet (SD) – female ♀
KM_47	standard diet (SD) – female ♀
KM_48	standard diet (SD) – female ♀
KM_49	standard diet (SD) – female ♀
KM_50	standard diet (SD) – female ♀
KM_51	high fat diet (HFD) – female ♀
KM_52	high fat diet (HFD) – female ♀
KM_53	high fat diet (HFD) – female ♀
KM_54	high fat diet (HFD) – female ♀
KM_55	high fat diet (HFD) – female ♀
KM_56	high fat diet (HFD) – female ♀
KM_57	high fat diet (HFD) – female ♀
KM_58	high fat diet (HFD) – female ♀
KM_59	high fat diet (HFD) – female ♀
KM_60	high fat diet (HFD) – female ♀
KM_61	high carbohydrate diet (HCD) – female ♀
KM_62	high carbohydrate diet (HCD) – female ♀
KM_63	high carbohydrate diet (HCD) – female ♀
KM_64	high carbohydrate diet (HCD) – female ♀
KM_65	high carbohydrate diet (HCD) – female ♀
KM_66	high carbohydrate diet (HCD) – female ♀
KM_67	high carbohydrate diet (HCD) – female ♀
KM_68	high carbohydrate diet (HCD) – female ♀
KM_69	high carbohydrate diet (HCD) – female ♀
KM_70	high carbohydrate diet (HCD) – female ♀
KM_71	mixed diet (HMD) – female ♀
KM_72	mixed diet (HMD) – female ♀
KM_73	mixed diet (HMD) – female ♀
KM_74	mixed diet (HMD) – female ♀
KM_75	mixed diet (HMD) – female ♀
KM_76	mixed diet (HMD) – female ♀
KM_77	mixed diet (HMD) – female ♀
KM_78	mixed diet (HMD) – female ♀
KM_79	mixed diet (HMD) – female ♀
KM_80	mixed diet (HMD) – female ♀
